,foundation_name,link,Brand,price,colors,rank
116,Hello Happy Soft Blur Foundation,https://www.sephora.com/product/hello-happy-soft-blur-foundation-P432858?icid2=products,Benefit Cosmetics,$10.00 - $29.00,16 more colors,width:80.44399999999999%
117,Stick Foundation,https://www.sephora.com/product/stick-foundation-P410504?icid2=products,Anastasia Beverly Hills,$25.00,29 more colors,width:69.086%
118,bareSkin® Pure Brightening Serum Foundation Broad Spectrum SPF 20,https://www.sephora.com/product/bareskin-pure-brightening-serum-foundation-P385364?icid2=products,bareMinerals,$30.00,12 more colors,width:66.94%
119,Lock-It Foundation Kit,https://www.sephora.com/product/lock-it-foundation-kit-P432848?icid2=products,Kat Von D,$54.00,,width:67.692%
120,Aqua Foundation,https://www.sephora.com/product/aqua-foundation-P431509?icid2=products,Koh Gen Do,$70.00,9 more colors,width:82.60799999999999%
121,Limitless Foundation,https://www.sephora.com/product/limitless-foundation-P417152?icid2=products,STELLAR,$38.00,21 more colors,width:84.55999999999999%
122,Luminous Silk Powder Foundation,https://www.sephora.com/product/luminous-silk-powder-foundation-P399928?icid2=products,Giorgio Armani Beauty,$62.00,7 more colors,width:86.154%
123,Diorskin Forever Perfect Matte Powder Foundation,https://www.sephora.com/product/diorskin-forever-perfect-matte-powder-foundation-P297404?icid2=products,Dior,$54.00,11 more colors,width:85.77799999999999%
124,Woke Up Like This Flawless Finish Foundation,https://www.sephora.com/product/woke-up-like-this-flawless-finish-foundation-P432234?icid2=products,LAWLESS,$46.00,19 more colors,width:72.206%
125,Skin Love Weightless Blur Foundation,https://www.sephora.com/product/skin-love-weightless-blur-foundation-P434379?icid2=products,BECCA,$44.00,23 more colors,width:76.83%
126,Transformatte Pore Vanishing Matte Foundation,https://www.sephora.com/product/transformatte-pore-vanishing-matte-foundation-P434566?icid2=products,Natasha Denona,$45.00,34 more colors,width:73.182%
127,Stay All Day Foundation + Concealer,https://www.sephora.com/product/stay-all-day-foundation-concealer-P420628?icid2=products,stila,$40.00,15 more colors,width:75.284%
128,Shameless Youthful-Look 24H Foundation SPF 25,https://www.sephora.com/product/shameless-youthful-look-24h-foundation-spf-25-P427500?icid2=products,Marc Jacobs Beauty,$46.00,28 more colors,width:79.362%
129,8 HR Mattifying Compact Foundation,https://www.sephora.com/product/8-hr-mattifying-compact-foundation-P377347?icid2=products,SEPHORA COLLECTION,$20.00,14 more colors,width:82.18799999999999%
130,Velvet Matte Foundation Stick,https://www.sephora.com/product/velvet-matte-foundation-stick-P422223?icid2=products,NARS,$45.00,18 more colors,width:70.09%
131,Prime Time  BB Tinted Primer Broad Spectrum SPF 30,https://www.sephora.com/product/prime-time-bb-primer-cream-daily-defense-broad-spectrum-spf-30-P385504?icid2=products,bareMinerals,$27.00,3 more colors,width:81.398%
132,Black Label Detox BB Beauty Balm,https://www.sephora.com/product/black-label-detox-bb-beauty-balm-P374568?icid2=products,Dr. Jart+,$36.00,,width:82.748%
133,Clay Stick Foundation,https://www.sephora.com/product/clay-stick-foundation-P419646?icid2=products,tarte,$39.00,11 more colors,width:72.84200000000001%
134,The Etherealist Foundation,https://www.sephora.com/product/the-etherealist-skin-illuminating-foundation-P411600?icid2=products,KEVYN AUCOIN,$58.00,15 more colors,width:84.418%
135,Sheer Finish Pressed Setting Powder,https://www.sephora.com/product/sheer-finish-pressed-powder-P270540?icid2=products,Bobbi Brown,$42.00,3 more colors,width:91.764%
136,Ultra HD Perfector Skin Tint Foundation SPF 25,https://www.sephora.com/product/ultra-hd-perfector-P428675?icid2=products,MAKE UP FOR EVER,$20.00 - $36.00,12 more colors,width:84.236%
137,Superbalanced Makeup,https://www.sephora.com/product/superbalanced-makeup-P122740?icid2=products,CLINIQUE,$27.00,15 more colors,width:84.054%
138,Argan Matchmaker Serum Foundation,https://www.sephora.com/product/argan-matchmaker-serum-foundation-P280202?icid2=products,Josie Maran,$45.00,2 more colors,width:79.592%
139,All Hours Stick Foundation,https://www.sephora.com/product/all-hours-stick-foundation-P433816?icid2=products,Yves Saint Laurent,$48.00,19 more colors,width:88.5%
140,Designer Lift Smoothing Firming Foundation SPF 20,https://www.sephora.com/product/designer-lift-smoothing-firming-foundation-spf-20-P393406?icid2=products,Giorgio Armani Beauty,$67.00,4 more colors,width:84.37599999999999%
141,Make No Mistake Foundation & Concealer Stick,https://www.sephora.com/product/make-no-mistake-foundation-concealer-stick-P420440?icid2=products,SEPHORA COLLECTION,$20.00,15 more colors,width:80.684%
142,Nudies Tinted Blur Stick,https://www.sephora.com/product/nudies-tinted-blur-stick-P431758?icid2=products,NUDESTIX,$30.00,9 more colors,width:75%
143,’Hello Flawless!’ Oxygen Wow Liquid Foundation,https://www.sephora.com/product/hello-flawless-oxygen-wow-liquid-foundation-P305701?icid2=products,Benefit Cosmetics,$36.00,7 more colors,width:74.35%
144,The Luminous Lifting Cushion Foundation SPF 20 + Refill,https://www.sephora.com/product/the-luminous-lifting-cushion-foundation-spf-20-refill-P437500?icid2=products,La Mer,$120.00,11 more colors,width:81.904%
145,Ever-Matte Shine Proof Foundation,https://www.sephora.com/product/ever-matte-shine-proof-foundation-P379097?icid2=products,BECCA,$42.00,19 more colors,width:76.23%
146,Nude Illusion Liquid Foundation,https://www.sephora.com/product/nude-illusion-liquid-foundation-P437367?icid2=products,Wander Beauty,$40.00,11 more colors,width:84.138%
147,Double Wear Stay-In-Place Foundation Pump,https://www.sephora.com/product/double-wear-stay-in-place-makeup-pump-P427045?icid2=products,Estée Lauder,$10.00,,width:87.82600000000001%
148,Maestro Fusion Makeup Octinoxate Sunscreen SPF 15,https://www.sephora.com/product/maestro-fusion-makeup-octinoxate-sunscreen-spf-15-P393403?icid2=products,Giorgio Armani Beauty,$64.00,10 more colors,width:88.066%
149,Your Skin But Better CC+ Illumination Cream with SPF 50+,https://www.sephora.com/product/your-skin-but-better-cc-illumination-cream-with-spf-50-P423986?skuId=2137537&icid2=products,IT Cosmetics,$38.00,,width:76.91399999999999%
150,Mineral Face SPF 30 - Matte Tint,https://www.sephora.com/product/mineral-face-spf-30-matte-tint-P395627?icid2=products,COOLA,$36.00,,width:81.65599999999999%
151,Face Fabric Foundation,https://www.sephora.com/product/face-fabric-foundation-P428212?icid2=products,Giorgio Armani Beauty,$49.00,11 more colors,width:81.642%
